home_team_odds,away_team_odds,match_date,odd_1,odd_x,odd_2,home_team_model,away_team_model,prob_home_win,prob_draw,prob_away_win,ev_1,ev_x,ev_2,value_bet,best_bet
Japan,Sweden,2026-06-26 01:00,2.0,3.3,3.5,Japan,Sweden,40.1,26.4,33.5,-0.198,-0.1288,0.1725,✅ YES,2 (Away)  EV=+17.25%
Tunisia,Netherlands,2026-06-26 01:00,6.5,4.1,1.45,Tunisia,Netherlands,22.2,25.5,52.3,0.443,0.0455,-0.2417,✅ YES,1 (Home)  EV=+44.30%
Paraguay,Australia,2026-06-26 04:00,2.05,3.1,3.6,Paraguay,Australia,5.3,16.2,78.5,-0.8914,-0.4978,1.826,✅ YES,2 (Away)  EV=+182.60%
Turkey,USA,2026-06-26 04:00,2.65,3.4,2.4,Turkey,United States,11.5,18.0,70.5,-0.6952,-0.388,0.692,✅ YES,2 (Away)  EV=+69.20%
Norway,France,2026-06-26 21:00,4.2,3.5,1.77,Norway,France,26.4,23.8,49.8,0.1088,-0.167,-0.1185,✅ YES,1 (Home)  EV=+10.88%
Senegal,Iraq,2026-06-26 21:00,1.35,4.6,7.8,Senegal,Iraq,48.6,27.0,24.4,-0.3439,0.242,0.9032,✅ YES,2 (Away)  EV=+90.32%
Cape Verde,Saudi Arabia,2026-06-27 02:00,2.4,3.6,2.55,Cape Verde Islands,Saudi Arabia,38.0,27.3,34.6,-0.088,-0.0172,-0.1177,❌ NO,X (Draw)  EV=-1.72% (jo vlerë)
Uruguay,Spain,2026-06-27 02:00,5.3,3.8,1.57,Uruguay,Spain,24.5,25.4,50.2,0.2985,-0.0348,-0.2119,✅ YES,1 (Home)  EV=+29.85%
New Zealand,Belgium,2026-06-27 05:00,10.0,5.3,1.25,New Zealand,Belgium,17.4,25.1,57.5,0.74,0.3303,-0.2812,✅ YES,1 (Home)  EV=+74.00%
Egypt,Iran,2026-06-27 05:00,2.2,2.9,3.5,Egypt,Iran,37.7,28.0,34.3,-0.1706,-0.188,0.2005,✅ YES,2 (Away)  EV=+20.05%
Croatia,Ghana,2026-06-27 23:00,1.57,3.7,5.5,Croatia,Ghana,42.8,26.9,30.3,-0.328,-0.0047,0.6665,✅ YES,2 (Away)  EV=+66.65%
Panama,England,2026-06-27 23:00,9.0,5.7,1.25,Panama,England,12.5,23.4,64.1,0.125,0.3338,-0.1988,✅ YES,X (Draw)  EV=+33.38%
Colombia,Portugal,2026-06-28 01:30,3.5,3.1,2.1,Colombia,Portugal,29.9,24.1,46.0,0.0465,-0.2529,-0.034,✅ YES,1 (Home)  EV=+4.65%
DR Congo,Uzbekistan,2026-06-28 01:30,2.3,3.2,2.95,Congo DR,Uzbekistan,39.1,27.6,33.3,-0.1007,-0.1168,-0.0177,❌ NO,2 (Away)  EV=-1.77% (jo vlerë)
Algeria,Austria,2026-06-28 04:00,3.6,3.0,2.1,Algeria,Austria,32.2,26.6,41.2,0.1592,-0.202,-0.1348,✅ YES,1 (Home)  EV=+15.92%
Jordan,Argentina,2026-06-28 04:00,14.0,6.5,1.16,Jordan,Argentina,11.3,21.9,66.7,0.582,0.4235,-0.2263,✅ YES,1 (Home)  EV=+58.20%
